Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2,error
1,"[64, 32, 8]",0.4,0.002,32.0,14.0,109.36288834,17.29064844,6.10148224,0.01999302,0.8574666,15.47199986,4.70680965,0.01044426,0.23044786,
1,"[64, 32, 8]",0.2,0.0001,32.0,38.0,270.39035392,16.34347615,4.82754984,0.01801737,0.87265469,15.43572623,4.67416141,0.01036566,0.23405201,
1,"[64, 32, 8]",0.2,0.0005,32.0,15.0,122.8996079,16.30174995,4.78200431,0.01782348,0.87330411,15.56437807,5.25302744,0.01124596,0.22123094,
1,"[64, 32, 8]",0.2,0.002,32.0,8.0,66.06991315,16.764084,5.69004708,0.01954978,0.86601575,15.4441389,4.98395257,0.01084142,0.23321688,
1,"[64, 32, 8]",0.0,0.0001,32.0,40.0,264.56710219,15.96534042,4.15961489,0.01681253,0.87847925,15.35005635,4.6604631,0.01035148,0.24253059,
1,"[64, 32, 8]",0.0,0.0005,32.0,26.0,179.7356174,15.78133468,4.09923166,0.01660373,0.88126424,15.45235322,4.53740062,0.01016979,0.232401,
1,"[64, 32, 8]",0.0,0.002,32.0,34.0,228.76370525,14.65673999,4.17114775,0.01519487,0.89758375,15.43565833,4.02942721,0.00937187,0.23405875,
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 1, 64), dtype=float32)
  • training=True"
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 1, 64), dtype=float32)
  • training=True"
1,,,,,,,,,,,999999.0,,,,"Exception encountered when calling Dropout.call().

[1m`rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1[0m

Arguments received by Dropout.call():
  • inputs=tf.Tensor(shape=(None, 1, 64), dtype=float32)
  • training=True"
