learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
0.05,2000,6,34.8439,2.80729496,1.39729345,0.00273128,0.99599475,17.70819263,5.47159564,0.01156599,-0.00825199
0.05,2000,7,45.1033,1.55042731,0.8298683,0.00151397,0.99877832,15.96499258,4.64560848,0.01029918,0.18048283
0.05,2000,8,54.1038,0.74322908,0.41386619,0.00073167,0.99971926,15.89203956,4.78413702,0.01053372,0.18795539
0.05,2000,9,68.8266,0.28505203,0.16374955,0.00028274,0.9999587,15.56041973,3.9640433,0.009289,0.22149173
0.05,3000,1,21.7393,16.10417271,4.09679856,0.01502875,0.86819554,15.16580469,3.93928722,0.0092463,0.26047726
0.05,3000,2,24.3912,14.07560106,3.74896586,0.01235339,0.89930981,21.09917838,5.21632092,0.01113827,-0.43136931
0.05,3000,3,26.0007,9.9395397,3.16804701,0.00893819,0.94979051,22.0975366,5.35289529,0.01134189,-0.5700314
0.05,3000,4,29.8788,6.03446721,2.42148722,0.00557246,0.98149321,19.94882734,5.53216601,0.01162843,-0.27954439
0.05,3000,5,42.2743,3.40369071,1.64886713,0.00325269,0.99411219,20.7485399,6.02435642,0.01238368,-0.38418996
0.05,3000,6,46.3199,1.82390135,0.96866453,0.00181421,0.99830934,17.79768711,5.85776832,0.01216,-0.01846885
0.05,3000,7,59.2895,0.80966653,0.4569162,0.00080397,0.99966683,16.13667666,5.09398431,0.01098713,0.16276224
0.05,3000,8,74.9506,0.28692758,0.16916774,0.00028927,0.99995816,15.93224074,4.86157667,0.01065212,0.18384183
0.05,3000,9,154.4769,0.07307593,0.04469357,7.479e-05,0.99999729,15.57101165,3.98749165,0.00932556,0.22043152
0.1,50,1,2.9252,17.77724323,6.12551401,0.01872857,0.83938648,15.25926021,4.22544018,0.00965894,0.25133493
0.1,50,2,0.9606,16.47053231,4.44396289,0.01577285,0.8621304,15.11806729,3.78118821,0.00899925,0.26512553
0.1,50,3,1.0506,15.98189876,4.07211874,0.01475197,0.87018944,14.90394813,3.27428882,0.00823165,0.28579436
0.1,50,4,0.9963,15.05242601,3.79424237,0.01336761,0.88484939,14.84788609,2.90977198,0.00767429,0.2911573
0.1,50,5,1.0935,14.07333942,3.55826041,0.01200758,0.89934217,14.80777517,2.59011827,0.00718517,0.29498195
0.1,50,6,1.3069,12.271647,3.28863583,0.01053205,0.9234652,15.00948483,2.66724387,0.00729309,0.27564379
0.1,50,7,1.5805,10.40272068,2.98457069,0.00894939,0.94500197,15.01284773,2.58314272,0.00716192,0.27531917
0.1,50,8,1.9821,9.00996085,2.7006158,0.00792857,0.95874286,14.93452092,2.65771123,0.00728159,0.28286122
0.1,50,9,2.6515,7.51242313,2.4178639,0.00672171,0.97131774,15.14013818,2.74603818,0.00741758,0.26297827
0.1,100,1,1.3095,16.59634354,4.54365981,0.01597798,0.8600161,15.1182095,3.70374839,0.00888216,0.2651117
0.1,100,2,1.3255,16.06306133,4.04985869,0.01480743,0.86886763,15.09399709,3.56005521,0.00866488,0.26746372
0.1,100,3,1.3589,15.43710265,3.88079077,0.01373701,0.87888865,15.03008234,3.47367122,0.00853306,0.27365436
0.1,100,4,1.5771,14.03426035,3.60879101,0.01219993,0.89990041,15.8471357,3.69159103,0.00884435,0.19253786
0.1,100,5,2.0503,12.48977073,3.37424898,0.01071231,0.92072026,15.13288438,2.91727671,0.00768249,0.26368433
0.1,100,6,2.1489,10.5077363,3.06005454,0.00908113,0.94388595,16.34727891,3.4677421,0.00848692,0.14076579
