Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"ARIMAX(1, 0, 10)",Ya,0.000000,Tidak,0.001000,Tidak,262.98724174,25.73111206,33.86595074,11.64855403,27.57903680,0.02695534,4.56532483,0.66351139,-2.68762847
"SARIMAX(1, 0, 10)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,1398.029742,26.01511903,31.92972895,12.31644458,21.28083129,0.02804420,3.57803026,0.65604241,-2.27801607
"ARIMAX(1, 0, 11)",Tidak,0.010350,Tidak,0.001000,Tidak,269.81502867,25.69235771,33.42706937,11.63589973,27.10481774,0.02693935,4.49207692,0.66452421,-2.59266911
"SARIMAX(1, 0, 11)x(1, 0, 1, 24)",Tidak,0.008184,Tidak,0.001000,Tidak,2061.32383275,29.09743223,43.21981364,14.17021060,32.29785789,0.03085082,5.25522506,0.56970868,-5.00601475
"ARIMAX(1, 0, 12)",Tidak,0.034252,Tidak,0.001000,Tidak,330.26890898,25.94220977,37.03537622,11.73483695,31.87364955,0.02709465,5.22412674,0.65796764,-3.41015786
"SARIMAX(1, 0, 12)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,1368.66230965,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(1, 0, 13)",Tidak,0.941873,Ya,0.001000,Tidak,342.19306016,24.50257230,42.22310838,11.31208695,32.12648345,0.02651911,5.20209755,0.69487583,-4.73219582
"SARIMAX(1, 0, 13)x(1, 0, 0, 24)",Tidak,0.939611,Ya,0.001000,Tidak,665.02726793,24.50472500,46.33691845,11.31049041,36.39667301,0.02651511,5.85004930,0.69482221,-5.90358873
"SARIMAX(1, 0, 13)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,1377.33715796,24.44587193,183.97596674,11.19974881,165.55790068,0.02627705,25.45320089,0.69628634,-107.82853969
"ARIMAX(1, 0, 14)",Tidak,0.345258,Ya,0.001000,Tidak,394.13712502,24.46241868,40.88167479,11.23962553,30.62082168,0.02641112,4.97370279,0.69587505,-4.37375636
"SARIMAX(1, 0, 14)x(1, 0, 0, 24)",Tidak,0.274794,Ya,0.001000,Tidak,698.01569748,24.48548035,42.26682846,11.44867681,32.06808392,0.02672196,5.19308696,0.69530136,-4.74407282
"SARIMAX(1, 0, 14)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,2425.46060205,24.73579385,28.25895847,11.84480196,17.56812943,0.02742981,2.99223400,0.68903969,-1.56763281
"ARIMAX(1, 0, 15)",Tidak,0.993959,Ya,0.001000,Tidak,372.56313133,24.50482661,40.46873028,11.32062734,30.34745172,0.02653473,4.93255387,0.69481968,-4.26574436
"SARIMAX(1, 0, 15)x(1, 0, 0, 24)",Tidak,0.999559,Ya,0.001000,Tidak,701.78296685,24.49889304,42.49012962,11.36517008,32.34628392,0.02660016,5.23576262,0.69496745,-4.80492651
"SARIMAX(1, 0, 15)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,1564.49241424,24.74279191,31.24295632,12.24396631,21.35899091,0.02804344,3.57245060,0.68886371,-2.13851969
"ARIMAX(2, 0, 1)",Ya,0.000000,Tidak,0.001000,Tidak,88.35954952,25.24556443,316.09756256,11.92417567,294.61203526,0.02743970,45.07031007,0.67609069,-320.26462571
"SARIMAX(2, 0, 1)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,412.94274449,25.07258823,164.14283899,11.30553332,150.41322301,0.02648659,23.16365954,0.68051417,-85.62923825
"SARIMAX(2, 0, 1)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,330.16157627,24.99499110,253.01330232,11.55769269,232.79500938,0.02685846,35.67314419,0.68248867,-204.82936034
"SARIMAX(2, 0, 1)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,573.81634665,34.33435916,243.45049704,22.05858749,229.60448754,0.04299267,35.22119174,0.40088368,-189.56447616
"ARIMAX(2, 0, 2)",Tidak,0.000000,Tidak,0.001000,Tidak,102.79377604,24.92211137,317.04396265,11.51106120,295.37679746,0.02678365,45.18402990,0.68433755,-322.19124624
"SARIMAX(2, 0, 3)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,453.55272937,24.97346054,45.38846637,11.43989613,38.70377630,0.02668296,6.20613849,0.68303544,-5.62386742
"SARIMAX(2, 0, 3)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,261.54580903,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(2, 0, 4)",Tidak,0.000000,Tidak,0.001000,Tidak,105.69717693,26.66914442,46.92450802,11.71700822,42.27074173,0.02697515,6.82461650,0.63853069,-6.07978502
"SARIMAX(2, 0, 4)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,815.30344057,26.21961142,39.69666916,11.54459438,34.98045234,0.02673458,5.70332075,0.65061379,-4.06674153
"SARIMAX(2, 0, 4)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,251.5995512,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(2, 0, 6)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,254.27320981,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(2, 0, 13)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,908.07051659,26.08014052,35.69401570,11.84310145,24.39087870,0.02724578,4.04188820,0.65432091,-3.09648562
"SARIMAX(2, 0, 14)x(1, 0, 0, 24)",Tidak,0.000029,Tidak,0.001000,Tidak,760.36977839,24.53500316,27.95833841,11.20015477,16.80033102,0.02634434,2.87671141,0.69406758,-1.51329420
"SARIMAX(2, 0, 15)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,892.64676905,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 1)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,1077.06897259,25.65240438,104.98711744,11.03166127,85.38475571,0.02599694,13.25843065,0.66556678,-34.43991224
"SARIMAX(3, 0, 1)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,400.53484511,24.86989489,79.96549281,11.23755295,70.48315451,0.02640473,11.02321927,0.68565891,-19.56012972
"SARIMAX(3, 0, 1)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,622.03929377,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 2)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,801.91885757,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(3, 0, 3)",Ya,0.000000,Tidak,0.001000,Tidak,183.82455873,26.41531148,36.48925795,11.23416499,23.21226576,0.02624232,3.83481300,0.64537877,-3.28105372
"SARIMAX(3, 0, 3)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,956.15640903,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 4)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,230.36064339,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 5)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,245.70898509,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMAX(3, 0, 6)",Error,Error,Error,Error,Error,155.28058219,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMAX(3, 0, 6)x(0, 0, 1, 24)",Error,Error,Error,Error,Error,870.57646966,Error,Error,Error,Error,Error,Error,Error,Error
