learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
0.05,100,2,0.2589,16.60278217,4.59039175,0.01598704,0.85990746,15.08620254,3.65808013,0.0088141,0.26822009
0.05,100,3,0.2808,16.10959415,4.21238822,0.01508921,0.86810678,14.91944857,3.31069701,0.00828647,0.28430801
0.05,100,4,0.307,15.30059696,3.89344476,0.01372355,0.88102108,14.89507527,3.05373978,0.00789212,0.28664449
0.05,100,5,0.3486,14.18597861,3.62380342,0.01217748,0.89772444,14.83151714,2.7325391,0.00740358,0.29271936
0.05,100,6,0.4134,12.907538,3.34781963,0.01063871,0.91532795,14.8479703,2.57236151,0.00715761,0.29114926
0.05,100,7,0.5012,11.37781005,3.05362208,0.00937163,0.93420837,14.90608854,2.65364269,0.00727729,0.28558921
0.05,100,8,0.6281,9.99439129,2.77277639,0.00829156,0.94923482,14.89760186,2.63202324,0.00724402,0.28640247
0.05,100,9,0.8023,8.75886008,2.51333042,0.00739907,0.96101043,14.96111596,2.59273026,0.00718546,0.28030482
0.05,200,1,0.3531,16.64313845,4.6408069,0.01614305,0.85922559,15.0543836,3.61628143,0.00875304,0.27130369
0.05,200,2,0.3979,16.19714609,4.24165898,0.0151465,0.86666927,15.0492611,3.64521551,0.00879764,0.27179951
0.05,200,3,0.4401,15.50809174,3.99739698,0.01423162,0.8777722,15.11095108,3.73238235,0.00892488,0.26581719
0.05,200,4,0.4834,14.36310139,3.7222342,0.01261089,0.89515452,16.30877339,3.82181401,0.00903545,0.14480882
0.05,200,5,0.5454,12.92233908,3.43463144,0.01094899,0.91513365,16.18368402,3.57484071,0.00866602,0.15787726
0.05,200,6,0.6617,11.48474244,3.13393838,0.00944036,0.9329659,18.16976652,3.91037779,0.00916552,-0.06149831
0.05,200,7,0.8022,9.77089313,2.81392903,0.00806374,0.95147989,16.92863875,3.53811,0.00861794,0.07856503
0.05,200,8,1.1335,8.27345654,2.49886863,0.00687735,0.96521218,15.13911582,3.10287247,0.00795883,0.2630778
0.05,200,9,1.549,7.0438044,2.20957142,0.00585547,0.97478449,15.4876454,3.47078273,0.00852131,0.22875669
0.05,500,1,0.6559,16.3690395,4.28445335,0.01537389,0.86382429,15.05339205,3.60006857,0.00873154,0.27139968
0.05,500,2,0.7574,15.79845077,4.08980921,0.01454173,0.8731524,15.29139368,4.30281733,0.00979521,0.24817848
0.05,500,3,0.8723,14.41917211,3.78419195,0.01292766,0.89433433,18.27500794,4.70019862,0.01036386,-0.07383057
0.05,500,4,0.9826,12.8045761,3.47880924,0.01099369,0.9166734,23.61823427,5.27288183,0.01119718,-0.79355817
0.05,500,5,1.1481,10.71502916,3.12831009,0.00902192,0.94165012,24.68797592,6.8062731,0.01345457,-0.95970899
0.05,500,6,1.3938,8.64648921,2.75017542,0.00714809,0.96200444,25.15200732,5.59675639,0.0117053,-1.0340701
0.05,500,7,1.7467,6.81379988,2.36307891,0.00575608,0.97640435,22.72019928,5.73785305,0.01193899,-0.65975844
0.05,500,8,2.4269,5.13509633,1.94573984,0.00442578,0.98659859,16.28929339,4.0717444,0.00942217,0.14685057
0.05,500,9,3.199,3.90804631,1.56572394,0.00339885,0.99223802,16.47335142,4.31944176,0.00980685,0.12746162
0.05,1000,1,1.2012,16.29050243,4.21853269,0.01521937,0.86512787,15.10798138,3.78580173,0.00901599,0.26610573
0.05,1000,2,1.4725,15.39311457,3.95661813,0.01406433,0.87957788,17.4879642,5.19736325,0.01113334,0.01667037
0.05,1000,3,1.6265,13.37521539,3.60425217,0.01168808,0.90908096,24.21670216,5.50205424,0.01155235,-0.88560454
0.05,1000,4,1.8265,11.01938778,3.21318223,0.00936338,0.9382882,34.64089339,7.33881199,0.01429087,-2.85832478
0.05,1000,5,2.411,8.36763536,2.76726053,0.00705743,0.96441567,30.20853321,8.38179612,0.01583611,-1.93413364
0.05,1000,6,2.8347,6.05935643,2.264888,0.00521422,0.98134023,27.71909241,8.02882356,0.01529649,-1.47046455
0.05,1000,7,3.4451,4.29889898,1.7731883,0.00377595,0.99060779,23.84152462,6.39323936,0.01292743,-0.82763162
0.05,1000,8,4.6338,2.89579147,1.28796599,0.00258919,0.99573825,16.70461486,4.730553,0.01041153,0.10279115
0.05,1000,9,6.5407,1.8254663,0.86309566,0.00164893,0.99830644,16.89163696,4.78401921,0.01051327,0.08258869
0.05,2000,1,2.2922,16.2254065,4.20453629,0.01518856,0.8662036,15.15846234,4.02172244,0.00937831,0.26119315
0.05,2000,2,2.963,14.77898501,3.8706945,0.01341423,0.88899502,21.47366684,5.78130479,0.01199849,-0.48263086
0.05,2000,3,3.5311,11.97613634,3.39744658,0.01020612,0.92710685,38.75203528,8.18504144,0.0155793,-3.82847123
0.05,2000,4,3.5423,8.9186878,2.89848768,0.00760987,0.95957452,42.0970572,9.61242549,0.01772371,-4.69802157
0.05,2000,5,4.4023,6.01638296,2.28798936,0.00516187,0.98160397,32.12916772,9.40891908,0.01739004,-2.3190941
0.05,2000,6,5.6287,3.73223672,1.64128819,0.00336334,0.99292068,29.35465871,9.16698727,0.01702661,-1.77060546
0.05,2000,7,7.2273,2.2142004,1.07931359,0.00206457,0.99750835,24.73204234,7.15846483,0.01409232,-0.96671114
0.05,2000,8,9.6319,1.18517958,0.61645955,0.00112725,0.99928613,17.16598831,5.28874169,0.01125567,0.05254577
0.05,2000,9,14.0141,0.56120709,0.29920837,0.00053022,0.99983993,17.09825218,5.14254706,0.01105986,0.06000823
0.05,3000,1,3.614,16.19248356,4.20081,0.01515844,0.86674602,15.18511265,4.04751157,0.00941968,0.25859305
0.05,3000,2,4.1279,14.35913723,3.81519134,0.01292778,0.89521239,32.75993949,7.95421438,0.01525195,-2.45069676
0.05,3000,3,5.0491,11.00910359,3.2636242,0.00929027,0.93840334,40.72496568,9.18264141,0.0170947,-4.33263757
0.05,3000,4,5.2741,7.67810878,2.66997737,0.00658476,0.97003862,43.50598033,10.82033513,0.0195343,-5.08581201
0.05,3000,5,6.7994,4.76308498,1.95282867,0.00416442,0.98846998,32.820361,9.74769377,0.01790835,-2.46343723
0.05,3000,6,8.0105,2.59562185,1.24658029,0.00239556,0.99657598,29.60861041,9.30665452,0.01724201,-1.81875069
0.05,3000,7,10.9899,1.3483217,0.70244385,0.0012859,0.99907607,24.90490305,7.40008497,0.014464,-0.99429925
0.05,3000,8,15.3536,0.59466714,0.32706034,0.00057707,0.99982028,17.2768404,5.38162907,0.01139628,0.04026959
0.05,3000,9,21.6991,0.21405388,0.12200417,0.00021025,0.99997671,17.1438289,5.234273,0.01119873,0.05499031
0.1,50,1,0.1934,17.88108199,6.48288221,0.01928678,0.83750468,15.22624135,4.38657306,0.00991036,0.25457143
0.1,50,2,0.3817,16.61288013,4.62111679,0.01599804,0.859737,15.05095701,3.63191868,0.00877354,0.27163538
0.1,50,3,0.4364,16.16230176,4.27754175,0.01529097,0.86724231,14.89592306,3.28990938,0.00825112,0.28656329
0.1,50,4,0.4327,15.35279529,3.89266051,0.01386867,0.8802079,14.84660136,2.86453612,0.00760219,0.29127997
0.1,50,5,0.4752,14.28504093,3.69588049,0.01241955,0.89629105,14.82792659,2.7918439,0.00749003,0.29306177
0.1,50,6,0.3267,12.9014008,3.39546404,0.01091346,0.91540845,15.03657411,2.84642316,0.00755668,0.27302678
0.1,50,7,0.3276,11.39952445,3.10435664,0.00954447,0.93395701,14.85983849,2.34818962,0.00681327,0.29001562
