Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
11,45,11-45,depok_air_lag7,160.0,11-85,11-86,11-86,943.314453,104.0,
11,46,11-46,depok_air_lag8,170.0,11-87,11-88,11-88,27704.1875,4343.0,
11,47,11-47,manggarai_air_lag4,598.0,11-89,11-90,11-90,3427.60938,238.0,
11,48,11-48,manggarai_air_lag1,670.0,11-91,11-92,11-92,5836.0,2057.0,
11,49,11-49,hour_cos,-0.5,11-93,11-94,11-94,5288.14062,224.0,
11,50,11-50,depok_air_lag9,160.0,11-95,11-96,11-96,16685.9062,1425.0,
11,51,11-51,manggarai_air_lag5,570.0,11-97,11-98,11-98,7086.84375,424.0,
11,52,11-52,manggarai_air_lag5,780.0,11-99,11-100,11-100,6824.85938,436.0,
11,53,11-53,manggarai_air_lag2,700.0,11-101,11-102,11-102,1864.4375,223.0,
11,54,11-54,manggarai_air_lag1,732.5,11-103,11-104,11-104,4714.09375,312.0,
11,55,11-55,manggarai_air_lag1,760.0,11-105,11-106,11-106,2389.0,205.0,
11,56,11-56,manggarai_air_lag1,760.0,11-107,11-108,11-108,1318.39062,130.0,
11,57,11-57,manggarai_air_lag1,575.0,11-109,11-110,11-110,2940.3125,1691.0,
11,58,11-58,manggarai_air_lag1,580.0,11-111,11-112,11-112,2413.48022,15.0,
11,59,11-59,time_index,157.0,11-113,11-114,11-114,20117.9258,2.0,
11,60,11-60,time_index,17929.0,11-115,11-116,11-116,1461.8186,5.0,
11,61,11-61,manggarai_air_lag2,575.0,11-117,11-118,11-118,3497.59375,1557.0,
11,62,11-62,Leaf,,,,,-6.23818684,1.0,
11,63,11-63,depok_air_lag9,111.0,11-119,11-120,11-120,3493.4375,1869.0,
11,64,11-64,hour_sin,-0.707106769,11-121,11-122,11-122,4368.49414,33.0,
11,65,11-65,manggarai_air_lag7,645.0,11-123,11-124,11-124,108.332794,12.0,
11,66,11-66,Leaf,,,,,1.88122559,3.0,
11,67,11-67,Leaf,,,,,2.35204172,7.0,
11,68,11-68,Leaf,,,,,0.658319116,1.0,
11,69,11-69,manggarai_air_lag12,602.5,11-125,11-126,11-126,492.334473,59.0,
11,70,11-70,Leaf,,,,,-24.8559666,1.0,
11,71,11-71,manggarai_air_lag1,598.0,11-127,11-128,11-128,2335.6875,3964.0,
11,72,11-72,depok_cuaca_lag6_hujan,1.0,11-129,11-130,11-130,1641.3678,28.0,
11,73,11-73,depok_cuaca_lag5_hujan,1.0,11-131,11-132,11-132,854.572754,113.0,
11,74,11-74,Leaf,,,,,1.40558171,3.0,
11,75,11-75,manggarai_cuaca_lag12_hujan,1.0,11-133,11-134,11-134,2774.21094,1715.0,
11,76,11-76,Leaf,,,,,2.74740601,1.0,
11,77,11-77,depok_air_lag6,102.5,11-135,11-136,11-136,1843.64478,57.0,
11,78,11-78,manggarai_air_lag4,598.0,11-137,11-138,11-138,7455.7207,2111.0,
11,79,11-79,Leaf,,,,,-15.9966888,1.0,
11,80,11-80,manggarai_air_lag17,607.5,11-139,11-140,11-140,230.718063,9.0,
11,81,11-81,time_index,26824.0,11-141,11-142,11-142,1382.05273,209.0,
11,82,11-82,dayofyear_sin,0.566361904,11-143,11-144,11-144,124767.047,14.0,
11,83,11-83,manggarai_air_lag9,520.0,11-145,11-146,11-146,3468.91113,1410.0,
11,84,11-84,manggarai_air_lag2,645.0,11-147,11-148,11-148,3073.5293,2129.0,
11,85,11-85,manggarai_air_lag6,675.0,11-149,11-150,11-150,951.748047,93.0,
11,86,11-86,Leaf,,,,,2.62071681,11.0,
11,87,11-87,katulampa_air_lag4,75.0,11-151,11-152,11-152,9528.07812,4338.0,
11,88,11-88,time_index,30677.0,11-153,11-154,11-154,52695.0234,5.0,
11,89,11-89,dayofyear_sin,0.616621196,11-155,11-156,11-156,1627.75781,16.0,
11,90,11-90,depok_air_lag6,135.0,11-157,11-158,11-158,2850.07031,222.0,
11,91,11-91,manggarai_air_lag15,770.0,11-159,11-160,11-160,7593.42969,1351.0,
11,92,11-92,manggarai_air_lag2,680.0,11-161,11-162,11-162,3864.15625,706.0,
11,93,11-93,manggarai_cuaca_lag2_hujan,1.0,11-163,11-164,11-164,3886.43701,31.0,
11,94,11-94,manggarai_air_lag2,650.0,11-165,11-166,11-166,4194.54688,193.0,
11,95,11-95,depok_air_lag6,96.0,11-167,11-168,11-168,3471.9375,1415.0,
11,96,11-96,manggarai_cuaca_lag4_hujan,1.0,11-169,11-170,11-170,93906.3516,10.0,
11,97,11-97,Leaf,,,,,-3.62062693,1.0,
11,98,11-98,manggarai_air_lag2,720.0,11-171,11-172,11-172,4285.8125,423.0,
