Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"SARIMA(2, 0, 4)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,458.85,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 4)x(0, 0, 1, 24)",Ya,0.000006,Tidak,0.001000,Tidak,102.23,19.8987,57.7558,5.5680,47.7419,0.02,8.42,0.8078,-2.9860
"SARIMA(2, 0, 4)x(1, 0, 1, 24)",Ya,0.005611,Tidak,0.001000,Tidak,270.71,19.8510,56.9748,5.8061,47.7076,0.02,8.58,0.8088,-2.8790
"ARIMA(2, 0, 5)",Tidak,0.394305,Ya,0.001000,Tidak,42.04,19.5693,35.8655,5.8158,23.7793,0.02,4.78,0.8142,-0.5371
"SARIMA(2, 0, 5)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,242.53,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 5)x(0, 0, 1, 24)",Tidak,0.521602,Ya,0.001000,Tidak,93.44,19.8766,55.5394,5.6091,43.7664,0.02,7.95,0.8083,-2.6860
"SARIMA(2, 0, 5)x(1, 0, 1, 24)",Tidak,0.922233,Ya,0.001000,Tidak,301.47,19.8446,77.0968,5.8170,72.3085,0.02,12.41,0.8089,-6.1027
"ARIMA(2, 0, 6)",Tidak,0.901771,Ya,0.001000,Tidak,46.54,19.5680,36.0563,5.8116,23.9102,0.02,4.79,0.8142,-0.5535
"SARIMA(2, 0, 6)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,370.77,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 6)x(0, 0, 1, 24)",Tidak,0.970663,Ya,0.001000,Tidak,77.84,19.8739,60.8853,5.6260,51.9665,0.02,9.24,0.8083,-3.4297
"SARIMA(2, 0, 6)x(1, 0, 1, 24)",Tidak,0.998963,Ya,0.001000,Tidak,751.45,19.8438,81.4702,5.8208,77.0218,0.02,13.15,0.8089,-6.9314
"ARIMA(2, 0, 7)",Tidak,0.998152,Ya,0.001000,Tidak,136.92,19.5679,36.1316,5.7834,22.7709,0.02,4.63,0.8142,-0.5600
"SARIMA(2, 0, 7)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,215.87,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 7)x(0, 0, 1, 24)",Tidak,0.999971,Ya,0.001000,Tidak,85.5,19.8703,75.9376,5.6818,71.0142,0.02,12.21,0.8084,-5.8907
"SARIMA(2, 0, 7)x(1, 0, 1, 24)",Tidak,0.999998,Ya,0.001000,Tidak,609.3,19.8432,93.5294,5.8538,89.4420,0.02,15.08,0.8089,-9.4531
"ARIMA(2, 0, 8)",Tidak,0.792508,Ya,0.001000,Tidak,155.23,19.5784,36.8928,5.8626,26.1527,0.02,5.13,0.8140,-0.6264
"SARIMA(2, 0, 8)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,498.07,27.2958,81.0086,9.9227,63.3162,0.03,10.92,0.6384,-6.8417
"SARIMA(2, 0, 8)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,200.78,20.0283,107.5536,5.7286,101.3525,0.02,16.85,0.8053,-12.8229
"SARIMA(2, 0, 8)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,455.52,19.9932,75.6465,5.9555,58.4475,0.02,10.16,0.8060,-5.8380
"ARIMA(2, 0, 9)",Tidak,0.904276,Ya,0.001000,Tidak,150.76,19.5688,37.0460,5.8300,25.8107,0.02,5.08,0.8142,-0.6400
"ARIMA(3, 0, 1)",Tidak,0.000000,Tidak,0.001000,Tidak,42.22,19.7425,40.2072,6.0277,31.0325,0.02,5.86,0.8108,-0.9318
"SARIMA(3, 0, 1)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,84.45,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(3, 0, 1)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,29.91,20.2035,164.6385,5.4769,138.6103,0.02,21.98,0.8019,-31.3901
"SARIMA(3, 0, 1)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,404.61,20.0345,41.4364,6.0515,31.3995,0.02,5.91,0.8052,-1.0517
"ARIMA(3, 0, 2)",Tidak,0.000000,Tidak,0.001000,Tidak,18.3,19.7455,40.2033,6.0214,31.0285,0.02,5.86,0.8108,-0.9314
"SARIMA(3, 0, 2)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,115.2,20.2094,96.8009,5.4882,82.2140,0.02,13.56,0.8018,-10.1972
"SARIMA(3, 0, 2)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,87.99,20.1969,72.2611,5.4091,60.2074,0.02,10.33,0.8020,-5.2396
"SARIMA(3, 0, 2)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,296.0,20.1432,31.0384,6.2183,16.5306,0.02,3.68,0.8031,-0.1512
"ARIMA(3, 0, 3)",Ya,0.567223,Ya,0.001000,Tidak,93.54,19.5712,37.0107,5.8935,26.1756,0.02,5.13,0.8141,-0.6368
"SARIMA(3, 0, 3)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,925.17,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(3, 0, 3)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,106.23,19.9434,62.4349,5.6944,55.0744,0.02,9.73,0.8070,-3.6581
"SARIMA(3, 0, 3)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,164.9,19.9089,46.8017,5.8562,34.3591,0.02,6.45,0.8076,-1.6174
"ARIMA(3, 0, 4)",Tidak,0.000000,Tidak,0.001000,Tidak,32.34,19.7423,40.2172,6.0318,31.0431,0.02,5.86,0.8109,-0.9327
"SARIMA(3, 0, 4)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,347.08,19.9641,57.7545,5.9552,51.5962,0.02,9.23,0.8066,-2.9859
"SARIMA(3, 0, 4)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,79.65,20.1970,71.7538,5.4112,59.3779,0.02,10.21,0.8020,-5.1523
"SARIMA(3, 0, 4)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,375.34,20.1422,30.8927,6.2498,16.3205,0.02,3.65,0.8031,-0.1404
"ARIMA(3, 0, 5)",Tidak,0.000000,Tidak,0.001000,Tidak,34.3,19.7427,40.2213,6.0326,31.0473,0.02,5.86,0.8108,-0.9331
"SARIMA(3, 0, 5)x(1, 0, 0, 24)",Tidak,0.000743,Tidak,0.001000,Tidak,189.53,19.8699,50.9915,5.6866,43.8430,0.02,8.01,0.8084,-2.1070
"SARIMA(3, 0, 5)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,131.26,20.1927,73.3307,5.4250,57.3764,0.02,9.97,0.8021,-5.4257
"SARIMA(3, 0, 5)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,380.7,20.1317,39.1551,6.0808,29.8623,0.02,5.68,0.8033,-0.8320
"ARIMA(3, 0, 6)",Ya,0.609156,Ya,0.001000,Tidak,134.82,19.5659,37.6325,5.7823,23.6443,0.02,4.80,0.8142,-0.6923
"SARIMA(3, 0, 6)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,242.15,627.4777,657.8934,625.8336,657.2571,1.00,100.00,-190.0732,-516.2027
"SARIMA(3, 0, 6)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,188.31,20.1788,78.2745,5.4825,66.6002,0.02,11.26,0.8024,-6.3213
"SARIMA(3, 0, 6)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,474.96,20.1222,104.7611,5.9205,94.8362,0.02,15.41,0.8035,-12.1145
"ARIMA(3, 0, 7)",Ya,0.944832,Ya,0.001000,Tidak,140.75,19.5676,38.8747,5.7647,24.7292,0.02,4.96,0.8142,-0.8059
"SARIMA(3, 0, 7)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,328.07,27.4843,270.3915,9.2625,229.3048,0.02,35.60,0.6334,-86.3646
"SARIMA(3, 0, 7)x(0, 0, 1, 24)",Tidak,0.996973,Ya,0.001000,Tidak,258.12,19.8696,83.0337,5.7275,78.6957,0.02,13.41,0.8084,-7.2387
"SARIMA(3, 0, 7)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,536.83,19.9714,67.6383,6.1276,59.3386,0.02,10.10,0.8064,-4.4668
"ARIMA(3, 0, 8)",Tidak,0.995677,Ya,0.001000,Tidak,176.16,19.5644,36.0360,5.7859,22.4866,0.02,4.59,0.8142,-0.5518
"SARIMA(3, 0, 8)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,341.95,27.1596,114.2188,9.6887,97.9836,0.02,15.91,0.6420,-14.5892
"SARIMA(3, 0, 8)x(0, 0, 1, 24)",Tidak,0.999306,Ya,0.001000,Tidak,292.18,19.8643,85.1742,5.7738,80.8846,0.02,13.76,0.8085,-7.6689
"SARIMA(3, 0, 8)x(1, 0, 1, 24)",Ya,0.990372,Ya,0.001000,Tidak,1187.6,19.9239,58.7345,5.9538,49.7059,0.02,8.66,0.8074,-3.1223
"ARIMA(3, 0, 9)",Tidak,0.995378,Ya,0.001000,Tidak,179.38,19.5638,36.9678,5.7820,23.1155,0.02,4.71,0.8143,-0.6330
"SARIMA(3, 0, 9)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,236.05,20.0605,147.9746,6.0771,145.1100,0.02,23.68,0.8047,-25.1652
"SARIMA(3, 0, 9)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,230.29,20.0251,96.1389,5.7281,86.8351,0.02,14.59,0.8054,-10.0445
"SARIMA(3, 0, 9)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,688.83,19.9830,73.2415,5.9602,56.0772,0.02,9.78,0.8062,-5.4101
"ARIMA(3, 0, 10)",Tidak,0.999131,Ya,0.001000,Tidak,191.19,19.5655,36.0556,5.7821,22.5159,0.02,4.60,0.8142,-0.5534
"SARIMA(3, 0, 10)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,477.35,26.7730,414.4367,9.5470,367.9856,0.02,56.42,0.6521,-204.2420
"SARIMA(3, 0, 10)x(0, 0, 1, 24)",Tidak,0.999965,Ya,0.001000,Tidak,129.8,19.8698,79.1156,5.6900,74.4518,0.02,12.75,0.8084,-6.4795
"SARIMA(3, 0, 10)x(1, 0, 1, 24)",Tidak,0.999997,Ya,0.001000,Tidak,465.4,19.8438,95.4553,5.8474,91.3847,0.02,15.38,0.8089,-9.8880
"ARIMA(4, 0, 1)",Tidak,0.000000,Tidak,0.001000,Tidak,12.6,19.7419,40.2047,6.0277,31.0299,0.02,5.86,0.8109,-0.9315
"SARIMA(4, 0, 1)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,133.18,20.2554,139.2439,5.2322,136.3922,0.02,22.32,0.8009,-22.1687
"SARIMA(4, 0, 1)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,37.91,20.2013,83.1882,5.4081,71.0134,0.02,11.90,0.8020,-7.2694
"SARIMA(4, 0, 1)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,356.8,20.0204,42.1231,6.0005,32.5980,0.02,6.09,0.8055,-1.1203
"ARIMA(4, 0, 2)",Tidak,0.000000,Tidak,0.001000,Tidak,41.85,19.7417,40.2137,6.0313,31.0396,0.02,5.86,0.8109,-0.9324
"SARIMA(4, 0, 2)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,177.44,19.9922,85.2202,5.6049,72.5532,0.02,12.12,0.8060,-7.6783
"SARIMA(4, 0, 2)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,161.38,19.9627,131.6283,5.6231,128.4752,0.02,21.11,0.8066,-19.7037
"SARIMA(4, 0, 2)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,342.72,19.9785,59.5626,5.9217,49.7158,0.02,8.66,0.8063,-3.2393
"ARIMA(4, 0, 3)",Tidak,0.000000,Tidak,0.001000,Tidak,111.29,19.6628,39.9820,5.8843,30.6881,0.02,5.81,0.8124,-0.9102
"SARIMA(4, 0, 3)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,245.37,21.7195,149.5252,6.2091,145.5958,0.02,23.04,0.7711,-25.7164
"SARIMA(4, 0, 3)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,80.06,20.1964,71.7128,5.4103,59.2836,0.02,10.20,0.8021,-5.1453
"SARIMA(4, 0, 3)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,325.36,20.0807,32.9949,6.2006,20.0450,0.02,4.21,0.8043,-0.3009
"ARIMA(4, 0, 4)",Tidak,0.000000,Tidak,0.001000,Tidak,45.53,19.7423,40.2180,6.0323,31.0440,0.02,5.86,0.8109,-0.9328
"SARIMA(4, 0, 4)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,199.62,26.3133,58.6486,9.2384,44.5976,0.02,8.02,0.6640,-3.1102
"SARIMA(4, 0, 4)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,152.04,20.1997,73.1692,5.4496,61.3077,0.02,10.49,0.8020,-5.3974
"SARIMA(4, 0, 4)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,444.35,20.0902,39.7042,6.0216,29.2896,0.02,5.60,0.8041,-0.8838
"ARIMA(4, 0, 5)",Tidak,0.000000,Tidak,0.001000,Tidak,67.71,19.7423,40.2217,6.0327,31.0477,0.02,5.86,0.8109,-0.9332
"SARIMA(4, 0, 5)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,182.1,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(4, 0, 5)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,185.17,20.1891,74.2240,5.4479,62.5968,0.02,10.67,0.8022,-5.5832
"SARIMA(4, 0, 5)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,613.66,20.1209,32.5089,6.2248,19.4235,0.02,4.11,0.8035,-0.2629
"ARIMA(4, 0, 6)",Tidak,0.000000,Tidak,0.001000,Tidak,40.73,19.7425,40.2197,6.0328,31.0456,0.02,5.86,0.8108,-0.9330
"SARIMA(4, 0, 6)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,194.86,20.0588,71.5675,5.6786,59.1439,0.02,10.18,0.8047,-5.1204
"SARIMA(4, 0, 5)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,643.67,20.1209,32.5089,6.2248,19.4235,0.02,4.11,0.8035,-0.2629
"ARIMA(4, 0, 1)",Tidak,0.000000,Tidak,0.001000,Tidak,12.95,19.7419,40.2047,6.0277,31.0299,0.02,5.86,0.8109,-0.9315
"ARIMA(4, 0, 6)",Tidak,0.000000,Tidak,0.001000,Tidak,52.46,19.7425,40.2197,6.0328,31.0456,0.02,5.86,0.8108,-0.9330
"SARIMA(4, 0, 6)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,205.21,20.0588,71.5675,5.6786,59.1439,0.02,10.18,0.8047,-5.1204
"SARIMA(4, 0, 6)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,201.22,20.1857,99.0898,5.4899,84.0396,0.02,13.83,0.8023,-10.7330
"SARIMA(4, 0, 6)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,647.06,19.9379,60.1673,5.7326,49.8215,0.02,8.69,0.8071,-3.3258
"ARIMA(4, 0, 7)",Tidak,0.573046,Ya,0.001000,Tidak,165.8,19.5673,35.5204,5.7843,21.9079,0.02,4.52,0.8142,-0.5077
"SARIMA(4, 0, 7)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,290.55,20.1841,154.9076,5.5534,152.1799,0.02,24.77,0.8023,-27.6745
"SARIMA(4, 0, 7)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,203.9,20.1585,74.9991,5.5490,63.0464,0.02,10.75,0.8028,-5.7214
"SARIMA(4, 0, 7)x(1, 0, 1, 24)",Tidak,0.000009,Tidak,0.001000,Tidak,611.39,19.9181,64.0312,5.5856,49.8864,0.02,8.87,0.8075,-3.8993
"ARIMA(4, 0, 8)",Tidak,0.994180,Ya,0.001000,Tidak,175.67,19.5657,35.5300,5.7962,22.1803,0.02,4.54,0.8142,-0.5085
"SARIMA(4, 0, 8)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,296.29,27.4438,47.5143,9.5769,34.8673,0.02,6.53,0.6345,-1.6977
"SARIMA(4, 0, 8)x(0, 0, 1, 24)",Tidak,0.304837,Ya,0.001000,Tidak,231.69,19.8752,51.9390,5.5822,41.7061,0.02,7.50,0.8083,-2.2236
"SARIMA(4, 0, 8)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,635.97,20.0463,52.8364,6.1548,44.6497,0.02,7.90,0.8050,-2.3359
"ARIMA(4, 0, 9)",Tidak,0.998181,Ya,0.001000,Tidak,213.08,19.5646,35.9253,5.7893,22.4829,0.02,4.59,0.8142,-0.5422
"SARIMA(4, 0, 9)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,231.37,20.0831,151.2795,5.8019,148.6300,0.02,24.21,0.8043,-26.3470
"SARIMA(4, 0, 9)x(0, 0, 1, 24)",Tidak,0.000180,Tidak,0.001000,Tidak,275.84,19.9780,210.3500,5.7717,178.6635,0.02,27.98,0.8063,-51.8731
"SARIMA(4, 0, 9)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,756.01,20.0564,63.8010,6.0366,52.8357,0.02,9.13,0.8048,-3.8641
"ARIMA(4, 0, 10)",Tidak,0.999929,Ya,0.001000,Tidak,236.97,19.5645,37.0521,5.7750,23.2043,0.02,4.73,0.8142,-0.6405
"SARIMA(4, 0, 10)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,477.51,26.2380,155.4793,9.0971,149.7826,0.02,24.41,0.6659,-27.8865
"SARIMA(4, 0, 10)x(0, 0, 1, 24)",Tidak,0.995518,Ya,0.001000,Tidak,324.06,19.8635,90.7259,5.7642,86.5688,0.02,14.64,0.8085,-8.8358
"SARIMA(4, 0, 10)x(1, 0, 1, 24)",Tidak,0.999387,Ya,0.001000,Tidak,429.17,19.8436,99.5253,5.8743,95.1213,0.02,15.97,0.8089,-10.8363
"ARIMA(5, 0, 1)",Tidak,0.000000,Tidak,0.001000,Tidak,13.49,19.7419,40.2191,6.0334,31.0450,0.02,5.86,0.8109,-0.9329
"SARIMA(5, 0, 1)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,147.07,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(5, 0, 1)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,30.21,20.2004,72.0563,5.3936,60.0098,0.02,10.30,0.8020,-5.2043
"SARIMA(5, 0, 1)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,425.44,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMA(5, 0, 2)",Tidak,0.000000,Tidak,0.001000,Tidak,26.22,19.7413,40.2104,6.0310,31.0360,0.02,5.86,0.8109,-0.9321
"SARIMA(5, 0, 2)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,279.33,19.9153,32.4113,5.5320,19.8219,0.02,4.22,0.8075,-0.2553
"SARIMA(5, 0, 2)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,112.53,20.2046,72.3073,5.3785,56.6753,0.02,9.86,0.8019,-5.2476
"SARIMA(5, 0, 2)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,549.05,20.0791,34.1411,6.2040,22.2396,0.02,4.54,0.8043,-0.3928
"ARIMA(5, 0, 3)",Tidak,0.000000,Tidak,0.001000,Tidak,57.34,19.7418,40.2190,6.0322,31.0449,0.02,5.86,0.8109,-0.9329
"SARIMA(5, 0, 3)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,199.35,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(5, 0, 3)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,173.49,20.0207,139.9375,5.6279,136.9367,0.02,22.42,0.8055,-22.4001
"SARIMA(5, 0, 3)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,289.56,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMA(5, 0, 4)",Tidak,0.000000,Tidak,0.001000,Tidak,94.6,19.7419,40.2223,6.0330,31.0483,0.02,5.86,0.8109,-0.9332
"SARIMA(5, 0, 4)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,198.59,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(5, 0, 4)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,92.33,20.1948,105.7189,5.3859,99.6804,0.02,16.60,0.8021,-12.3553
"SARIMA(5, 0, 4)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,468.55,20.1343,32.3982,6.2224,19.4114,0.02,4.11,0.8033,-0.2543
"ARIMA(5, 0, 5)",Ya,0.000000,Tidak,0.001000,Tidak,145.29,19.6567,39.7560,5.9769,30.4201,0.02,5.77,0.8125,-0.8887
"SARIMA(5, 0, 5)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,240.41,26.9261,55.1299,9.2064,42.1221,0.02,7.60,0.6482,-2.6318
"SARIMA(5, 0, 5)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,155.45,20.1964,75.0607,5.4212,58.6200,0.02,10.18,0.8021,-5.7325
"SARIMA(5, 0, 5)x(1, 0, 1, 24)",Ya,0.014228,Tidak,0.001000,Tidak,577.32,20.0781,34.1177,6.3123,22.1146,0.02,4.52,0.8044,-0.3909
"ARIMA(5, 0, 6)",Tidak,0.000000,Tidak,0.001000,Tidak,44.07,19.7419,40.2217,6.0343,31.0477,0.02,5.86,0.8109,-0.9332
"SARIMA(5, 0, 6)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,300.45,26.0833,140.5638,9.1742,117.2819,0.02,18.82,0.6698,-22.6100
"SARIMA(5, 0, 6)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,126.94,20.1959,72.1882,5.4070,56.9230,0.02,9.89,0.8021,-5.2270
"SARIMA(5, 0, 6)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,353.88,Error,Error,Error,Error,Error,Error,Error,Error
"ARIMA(5, 0, 7)",Tidak,0.008502,Tidak,0.001000,Tidak,166.07,19.5723,34.9024,5.7947,21.4034,0.02,4.43,0.8141,-0.4557
"SARIMA(5, 0, 7)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,316.92,19.9675,99.9025,5.5851,84.0301,0.02,13.82,0.8065,-10.9262
"SARIMA(5, 0, 7)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,206.66,20.1899,71.8114,5.4378,58.0330,0.02,10.03,0.8022,-5.1622
"SARIMA(5, 0, 7)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,450.64,20.0923,266.3402,5.8012,236.6626,0.02,36.67,0.8041,-83.7663
"ARIMA(5, 0, 8)",Tidak,0.425948,Ya,0.001000,Tidak,196.38,19.5670,35.3306,5.7851,21.7721,0.02,4.49,0.8142,-0.4916
"SARIMA(5, 0, 8)x(1, 0, 0, 24)",Tidak,0.000517,Tidak,0.001000,Tidak,290.86,19.9306,97.0305,5.5926,81.2056,0.02,13.40,0.8072,-10.2504
"SARIMA(5, 0, 8)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,297.29,20.0303,94.3007,5.5339,86.9380,0.02,14.63,0.8053,-9.6262
"SARIMA(5, 0, 8)x(1, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,529.83,20.0927,79.2430,6.1684,73.0393,0.02,12.16,0.8041,-6.5036
"ARIMA(5, 0, 9)",Tidak,0.964000,Ya,0.001000,Tidak,218.48,19.5654,35.9128,5.7860,22.3364,0.02,4.57,0.8142,-0.5412
"SARIMA(5, 0, 9)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,309.5,19.9862,72.0705,5.6237,56.6138,0.02,9.84,0.8062,-5.2068
"SARIMA(5, 0, 9)x(0, 0, 1, 24)",Tidak,0.618808,Ya,0.001000,Tidak,284.27,19.8627,56.1875,5.6840,48.9627,0.02,8.79,0.8085,-2.7725
"SARIMA(5, 0, 9)x(1, 0, 1, 24)",Ya,0.000013,Tidak,0.001000,Tidak,818.36,19.8647,80.2146,5.8057,74.9551,0.02,12.81,0.8085,-6.6888
"ARIMA(5, 0, 10)",Tidak,0.999174,Ya,0.001000,Tidak,260.84,19.5638,36.7442,5.7816,22.9599,0.02,4.68,0.8143,-0.6133
"SARIMA(5, 0, 10)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,622.39,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(5, 0, 10)x(0, 0, 1, 24)",Tidak,1.000000,Ya,0.001000,Tidak,137.33,19.8697,92.0470,5.7513,87.9086,0.02,14.85,0.8084,-9.1244
"SARIMA(5, 0, 10)x(1, 0, 1, 24)",Tidak,0.998902,Ya,0.001000,Tidak,2161.68,19.8458,105.8805,5.8392,101.7235,0.02,16.99,0.8089,-12.3962
"SARIMA(1, 0, 0)x(1, 0, 0, 24)",Error,Error,Error,Error,Error,84.6,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(1, 0, 0)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,7.63,22.7527,193.5133,4.5167,163.9734,0.02,25.78,0.7488,-43.7478
"SARIMA(1, 0, 0)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,62.26,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(2, 0, 0)x(1, 0, 0, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,45.24,20.3676,84.8793,5.1502,72.3497,0.02,12.10,0.7987,-7.6090
"SARIMA(2, 0, 0)x(0, 0, 1, 24)",Tidak,0.000000,Tidak,0.001000,Tidak,9.54,20.3676,84.6769,5.1496,72.1806,0.02,12.07,0.7987,-7.5680
"SARIMA(2, 0, 0)x(1, 0, 1, 24)",Error,Error,Error,Error,Error,107.07,Error,Error,Error,Error,Error,Error,Error,Error
"SARIMA(3, 0, 0)x(1, 0, 0, 24)",Ya,0.000000,Tidak,0.001000,Tidak,68.56,20.2113,73.1560,5.3627,61.4873,0.02,10.51,0.8018,-5.3951
"SARIMA(3, 0, 0)x(0, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,11.02,20.2114,73.0815,5.3620,61.4098,0.02,10.50,0.8018,-5.3821
"SARIMA(3, 0, 0)x(1, 0, 1, 24)",Ya,0.000000,Tidak,0.001000,Tidak,162.7,20.1724,94.6492,5.7366,86.5336,0.02,14.55,0.8025,-9.7049
